ID,Data,Produto,Categoria,Quantidade,Preço
1,2023-06-01,Arroz,NaN,82,26.7
2,2023-09-24,Arroz,Vestuário,49,55.3
3,2023-02-28,Café,Vestuário,67,51.9
4,2023-09-14,Café,Eletrônicos,94,43.6
5,2023-07-25,NaN,Alimentos,91,20.7
6,2023-10-23,Bola,NaN,48,46.7
7,2023-09-03,Arroz,NaN,94,86.9
8,2023-02-06,Boné,Casa,79,46.2
9,2023-03-09,Arroz,Vestuário,33,67.8
10,2023-12-27,Café,Alimentos,74,51.7
11,2023-10-11,Bola,NaN,67,59.6
12,2023-04-10,Boné,NaN,21,19.2
13,2023-08-22,Bola,Casa,24,74.1
14,2023-11-20,Boné,Vestuário,25,17.3
15,2023-07-07,Café,NaN,28,88.0
16,2023-09-12,Café,Alimentos,46,55.6
17,2023-04-17,Arroz,NaN,78,47.5
18,2023-07-31,Bola,Eletrônicos,29,58.5
19,2023-11-13,Café,Alimentos,95,71.4
20,2023-04-06,Café,Casa,97,19.0
21,2023-09-28,Boné,Alimentos,84,37.7
22,2023-03-11,Bola,NaN,45,92.5
23,2023-04-13,NaN,Alimentos,86,82.5
24,2023-08-19,NaN,Alimentos,33,75.3
25,2023-03-19,Bola,Casa,2,71.3
26,2023-07-22,Café,Vestuário,38,39.8
27,2023-11-14,Boné,Casa,25,20.4
28,2023-02-21,Boné,Casa,66,98.9
29,2023-08-25,Bola,NaN,84,30.3
30,2023-08-22,Arroz,Alimentos,99,36.3
31,2023-05-04,Arroz,NaN,11,32.2
32,2023-04-09,Bola,NaN,7,88.6
33,2023-03-26,Arroz,Vestuário,66,32.5
34,2023-08-15,Bola,Casa,3,80.8
35,2023-02-11,Arroz,Alimentos,88,46.2
36,2023-04-22,Arroz,Eletrônicos,45,32.0
37,2023-05-25,Bola,Casa,98,25.2
38,2023-07-27,Café,Alimentos,99,80.4
39,2023-01-23,Café,Eletrônicos,94,10.5
40,2023-07-01,NaN,Eletrônicos,75,49.2
41,2023-09-03,Café,NaN,97,10.9
42,2023-07-31,NaN,NaN,38,47.4
43,2023-01-03,Boné,NaN,27,67.4
44,2023-11-07,Arroz,Alimentos,51,49.0
45,2023-03-31,Café,Alimentos,25,88.6
46,2023-03-21,Boné,Casa,86,24.3
47,2023-08-08,Arroz,Eletrônicos,1,30.9
48,2023-07-31,Café,Alimentos,48,86.1
49,2023-08-08,Arroz,Vestuário,5,87.1
50,2023-10-15,Café,Casa,57,26.4
51,2023-05-13,Bola,Alimentos,85,57.4
52,2023-09-22,Arroz,NaN,58,25.0
53,2023-01-05,Arroz,Casa,56,59.5
54,2023-12-03,Café,Vestuário,3,34.4
55,2023-07-30,NaN,Eletrônicos,69,36.4
56,2023-10-13,Café,NaN,62,18.9
57,2023-07-08,Café,Vestuário,72,13.1
58,2023-01-22,NaN,Eletrônicos,14,99.5
59,2023-12-17,Arroz,NaN,82,72.2
60,2023-07-03,Boné,Casa,43,27.9
61,2023-05-29,Boné,NaN,19,44.0
62,2023-03-28,Café,Vestuário,79,50.6
63,2023-04-05,Arroz,Vestuário,14,39.3
64,2023-09-02,NaN,Eletrônicos,96,85.1
65,2023-09-18,Boné,NaN,10,58.0
66,2023-06-16,Arroz,Casa,42,57.2
67,2023-10-24,Café,Vestuário,8,77.0
68,2023-04-02,Café,NaN,38,59.5
69,2023-03-12,Café,Vestuário,40,15.5
70,2023-08-13,Bola,Casa,1,63.7
71,2023-11-29,NaN,Eletrônicos,85,69.6
72,2023-04-11,Boné,Alimentos,67,75.8
73,2023-09-08,Boné,Alimentos,69,20.0
74,2023-03-13,Café,Casa,76,18.1
75,2023-02-25,NaN,Alimentos,62,65.1
76,2023-03-22,NaN,Casa,60,61.9
77,2023-04-27,NaN,Alimentos,23,89.2
78,2023-03-16,Arroz,Eletrônicos,50,95.7
79,2023-01-20,Arroz,Casa,24,52.7
80,2023-08-22,NaN,Eletrônicos,16,50.3
81,2023-03-17,Bola,Alimentos,88,44.9
82,2023-03-27,Café,Vestuário,85,79.4
83,2023-03-25,Boné,Vestuário,39,28.7
84,2023-11-12,Bola,Vestuário,29,53.7
85,2023-03-31,Boné,Eletrônicos,94,43.0
86,2023-03-12,Café,Casa,9,34.4
87,2023-06-10,Bola,NaN,13,52.3
88,2023-05-18,Bola,Casa,29,53.0
89,2023-10-11,NaN,Eletrônicos,54,44.3
90,2023-09-24,Arroz,Eletrônicos,93,36.9
91,2023-01-21,Café,Vestuário,66,27.0
92,2023-07-02,Café,NaN,26,82.5
93,2023-04-05,NaN,NaN,89,65.5
94,2023-02-25,NaN,Vestuário,39,90.8
95,2023-11-02,NaN,Vestuário,48,51.9
96,2023-10-29,Boné,NaN,41,34.5
97,2023-06-05,Café,Alimentos,1,53.3
98,2023-09-07,Arroz,Vestuário,84,25.2
99,2023-04-25,Boné,Casa,33,89.6
100,2023-12-27,NaN,Vestuário,18,76.4
